user_id,Age Category,Country
8,Age_Unknown,Canada
9,Age_Unknown,United States
16,Age_Unknown,United States
17,Age_Unknown,United States
19,11-19,Country_Unknown
26,Age_Unknown,United States
32,Age_Unknown,United States
39,Age_Unknown,United States
42,11-19,United States
44,41-60,United States
51,31-40,United States
53,Age_Unknown,United States
56,19-30,United States
69,Age_Unknown,Canada
73,Age_Unknown,United States
75,31-40,United States
78,11-19,United States
81,Age_Unknown,United States
83,Age_Unknown,United States
85,41-60,United Kingdom
91,Age_Unknown,Country_Unknown
92,19-30,Spain
97,Age_Unknown,United States
99,41-60,United States
107,Age_Unknown,Canada
114,41-60,United States
125,41-60,United States
129,41-60,United States
165,61+,United States
169,Age_Unknown,United States
178,19-30,United States
185,11-19,United States
202,19-30,Canada
212,19-30,Philippines
224,Age_Unknown,United States
226,Age_Unknown,United States
228,41-60,United States
230,Age_Unknown,United States
232,11-19,India
242,31-40,Germany
243,Age_Unknown,United States
244,Age_Unknown,United States
254,19-30,United States
256,Age_Unknown,United States
257,Age_Unknown,Country_Unknown
272,19-30,United States
280,Age_Unknown,United States
291,Age_Unknown,United States
300,Age_Unknown,United States
316,19-30,Canada
326,Age_Unknown,United States
332,41-60,United States
334,19-30,Finland
337,11-19,Spain
339,19-30,Finland
356,Age_Unknown,United States
361,19-30,Spain
367,41-60,United States
372,19-30,Germany
383,Age_Unknown,United States
387,11-19,United States
388,31-40,United States
408,11-19,United States
413,11-19,United States
424,19-30,United States
430,Age_Unknown,United States
431,31-40,United States
433,41-60,United States
440,11-19,United States
441,Age_Unknown,United States
444,31-40,United States
446,Age_Unknown,United States
453,Age_Unknown,United States
460,Age_Unknown,Italy
476,Age_Unknown,United States
486,31-40,United States
487,Age_Unknown,United States
493,19-30,United States
494,Age_Unknown,Canada
496,41-60,United States
499,61+,United States
503,31-40,United States
505,41-60,United States
507,Age_Unknown,United States
508,19-30,United States
512,41-60,United States
513,Age_Unknown,United States
523,19-30,United States
537,Age_Unknown,Country_Unknown
538,19-30,United States
558,Age_Unknown,Country_Unknown
565,41-60,United States
566,Age_Unknown,United States
567,Age_Unknown,United States
592,Age_Unknown,United States
595,11-19,United States
596,41-60,United States
619,Age_Unknown,United States
620,41-60,Canada
625,41-60,France
626,41-60,Austria
628,Age_Unknown,Germany
638,19-30,United States
639,Age_Unknown,United States
641,Age_Unknown,United States
643,19-30,France
649,Age_Unknown,United States
650,Age_Unknown,United States
651,19-30,United States
657,Age_Unknown,United States
660,Age_Unknown,United States
677,19-30,United States
683,19-30,United States
685,19-30,United States
695,Age_Unknown,Netherlands
709,11-19,United States
711,19-30,United Kingdom
712,19-30,Switzerland
713,41-60,United Kingdom
714,Age_Unknown,United States
717,Age_Unknown,United States
726,31-40,United States
728,Age_Unknown,United States
735,19-30,United States
741,11-19,United States
744,41-60,United States
746,31-40,United States
756,Age_Unknown,United States
757,19-30,United States
758,Age_Unknown,Germany
759,Age_Unknown,United States
763,Age_Unknown,United States
765,Age_Unknown,United States
769,Age_Unknown,United States
771,31-40,United States
774,11-19,United States
776,19-30,New Zealand
777,11-19,Country_Unknown
778,Age_Unknown,United States
780,Age_Unknown,United States
785,Age_Unknown,United States
786,41-60,United States
805,31-40,United States
818,Age_Unknown,Malaysia
819,Age_Unknown,United States
824,11-19,United States
827,Age_Unknown,United States
828,31-40,United States
834,11-19,United States
843,19-30,United States
850,19-30,Germany
853,19-30,United States
882,19-30,United States
883,41-60,United States
885,Age_Unknown,United States
886,Age_Unknown,United States
887,19-30,United States
896,19-30,United Kingdom
899,19-30,Germany
900,19-30,United States
901,19-30,United Kingdom
902,11-19,United States
903,19-30,United States
913,41-60,United Kingdom
915,41-60,United States
929,31-40,Country_Unknown
933,19-30,United Kingdom
936,19-30,United States
938,41-60,Canada
941,Age_Unknown,United States
951,Age_Unknown,United States
965,19-30,United States
999,19-30,United States
1003,Age_Unknown,United States
1008,Age_Unknown,United States
1009,41-60,United States
1010,19-30,United States
1016,Age_Unknown,United States
1021,Age_Unknown,United States
1022,Age_Unknown,United States
1024,Age_Unknown,United States
1025,31-40,United Kingdom
1031,41-60,United States
1032,Age_Unknown,United States
1038,19-30,United States
1040,Age_Unknown,United States
1046,Age_Unknown,Australia
1048,19-30,Canada
1054,31-40,United States
1057,19-30,United Kingdom
1060,31-40,United States
1063,19-30,Canada
1075,41-60,United States
1079,Age_Unknown,United States
1082,31-40,United States
1083,Age_Unknown,United States
1093,Age_Unknown,United States
1108,Age_Unknown,United States
1111,Age_Unknown,Canada
1113,19-30,United States
1116,19-30,Canada
1118,Age_Unknown,United States
1129,41-60,United States
1131,19-30,Country_Unknown
1133,41-60,Australia
1140,19-30,United States
1150,19-30,United States
1155,19-30,United States
1161,Age_Unknown,United States
1164,31-40,United States
1166,19-30,France
1167,19-30,United States
1169,19-30,United States
1178,0-10,Germany
1180,19-30,United States
1184,31-40,United States
1193,19-30,Italy
1200,Age_Unknown,United States
1210,Age_Unknown,United States
1211,19-30,France
1214,19-30,Germany
1219,11-19,Malaysia
1223,Age_Unknown,United States
1234,19-30,Spain
1235,Age_Unknown,Canada
1248,Age_Unknown,United States
1249,Age_Unknown,Canada
1250,41-60,United States
1252,Age_Unknown,United States
1254,19-30,United States
1259,19-30,Canada
1261,41-60,United States
1264,Age_Unknown,United States
1266,19-30,United States
1267,Age_Unknown,United States
1279,Age_Unknown,United States
1281,31-40,United Kingdom
1293,Age_Unknown,United States
1294,Age_Unknown,Canada
1297,19-30,United States
1309,19-30,United States
1330,Age_Unknown,Germany
1331,31-40,Portugal
1343,31-40,United Kingdom
1359,11-19,United States
1368,19-30,United States
1372,31-40,Germany
1376,Age_Unknown,United States
1377,19-30,United States
1389,19-30,United States
1395,Age_Unknown,United States
1396,31-40,United States
1399,41-60,United States
1409,61+,United States
1410,19-30,United States
1412,41-60,United States
1417,Age_Unknown,United States
1424,Age_Unknown,Australia
1427,19-30,United States
1433,41-60,United States
1434,Age_Unknown,United States
1435,31-40,United States
1436,Age_Unknown,Canada
1439,Age_Unknown,Canada
1442,31-40,France
1448,61+,United States
1455,Age_Unknown,United States
1467,Age_Unknown,Country_Unknown
1486,61+,Australia
1489,19-30,United States
1491,19-30,United Kingdom
1499,Age_Unknown,United States
1504,Age_Unknown,United States
1511,19-30,United States
1513,31-40,United States
1515,19-30,United States
1519,61+,United States
1530,19-30,United States
1535,61+,United States
1539,Age_Unknown,Canada
1548,19-30,United States
1550,Age_Unknown,United States
1554,19-30,United States
1557,31-40,United States
1558,61+,United States
1559,Age_Unknown,United States
1570,19-30,United States
1578,19-30,Canada
1585,19-30,United States
1586,11-19,United Kingdom
1589,41-60,Country_Unknown
1591,19-30,Germany
1596,41-60,United States
1597,19-30,United States
1599,Age_Unknown,United Kingdom
1608,19-30,United States
1617,19-30,United States
1619,Age_Unknown,United States
1641,19-30,United States
1650,Age_Unknown,Canada
1652,Age_Unknown,United States
1660,Age_Unknown,United States
1674,19-30,United States
1688,41-60,United Kingdom
1696,31-40,Spain
1706,19-30,United States
1718,19-30,United States
1719,Age_Unknown,Singapore
1721,19-30,Canada
1725,19-30,United Kingdom
1730,31-40,United States
1733,19-30,United States
1759,19-30,United States
1768,19-30,United States
1773,11-19,United States
1775,11-19,United States
1790,19-30,United States
1791,Age_Unknown,United States
1792,Age_Unknown,United States
1803,41-60,United States
1805,Age_Unknown,United States
1812,19-30,United States
1829,Age_Unknown,Canada
1830,41-60,United Kingdom
1838,Age_Unknown,United States
1841,Age_Unknown,United States
1846,19-30,France
1848,19-30,United States
1850,0-10,Australia
1859,Age_Unknown,Canada
1863,41-60,Germany
1869,19-30,United States
1881,31-40,United States
1892,41-60,United States
1898,41-60,United States
1901,Age_Unknown,Canada
1903,31-40,"Taiwan, Province of China"
1905,Age_Unknown,United States
1910,Age_Unknown,Spain
1918,19-30,United Kingdom
1923,Age_Unknown,Australia
1928,11-19,United States
1933,Age_Unknown,United States
1937,41-60,United States
1945,41-60,United States
1947,Age_Unknown,Canada
1949,Age_Unknown,United States
1951,19-30,Germany
1954,31-40,United Kingdom
1978,Age_Unknown,United States
1989,19-30,United States
1996,31-40,Australia
2010,Age_Unknown,United States
2012,31-40,Country_Unknown
2018,19-30,Canada
2019,19-30,Portugal
2030,31-40,United States
2033,19-30,United States
2035,11-19,United States
2036,41-60,United States
2041,Age_Unknown,United States
2043,Age_Unknown,Country_Unknown
2060,41-60,United States
2063,Age_Unknown,United States
2070,19-30,United States
2075,19-30,Germany
2076,31-40,Italy
2084,19-30,Spain
2089,Age_Unknown,United States
2090,19-30,United States
2097,Age_Unknown,United States
2099,Age_Unknown,United States
2103,41-60,United States
2105,Age_Unknown,United States
2106,41-60,United States
2108,Age_Unknown,United States
2109,Age_Unknown,Canada
2110,Age_Unknown,United States
2115,41-60,United States
2116,Age_Unknown,Canada
2119,Age_Unknown,United States
2127,Age_Unknown,United States
2132,Age_Unknown,United States
2136,41-60,United States
2139,31-40,United States
2147,31-40,United States
2148,Age_Unknown,United States
2152,0-10,United States
2169,Age_Unknown,United States
2170,19-30,Germany
2172,11-19,Philippines
2178,Age_Unknown,United States
2179,19-30,United States
2181,11-19,Canada
2183,Age_Unknown,Canada
2189,19-30,Canada
2190,19-30,United States
2197,19-30,Canada
2198,Age_Unknown,United States
2199,19-30,Australia
2203,31-40,United Kingdom
2204,Age_Unknown,United States
2216,Age_Unknown,Germany
2218,41-60,United States
2222,Age_Unknown,United States
2224,19-30,France
2230,41-60,United States
2238,31-40,United States
2250,Age_Unknown,United States
2253,Age_Unknown,Canada
2255,31-40,United States
2271,Age_Unknown,United States
2276,41-60,United States
2281,19-30,United States
2287,31-40,United States
2288,19-30,United States
2292,Age_Unknown,United States
2295,19-30,United States
2296,61+,United States
2312,Age_Unknown,United States
2313,19-30,United States
2326,19-30,Portugal
2333,Age_Unknown,United States
2337,31-40,United States
2340,19-30,United States
2345,41-60,United Kingdom
2350,19-30,United States
2354,Age_Unknown,Canada
2355,Age_Unknown,Canada
2357,31-40,United States
2358,19-30,United States
2363,41-60,United States
2366,11-19,United States
2369,41-60,Canada
2375,19-30,United States
2376,31-40,United States
2379,Age_Unknown,United Kingdom
2385,Age_Unknown,Canada
2388,61+,United States
2399,31-40,United States
2404,Age_Unknown,United States
2411,31-40,United States
2414,Age_Unknown,Australia
2416,19-30,Spain
2417,31-40,United States
2437,41-60,United States
2439,19-30,United States
2442,19-30,Country_Unknown
2448,Age_Unknown,United Kingdom
2453,Age_Unknown,United States
2461,41-60,United States
2462,Age_Unknown,United States
2466,Age_Unknown,United States
2470,19-30,United States
2481,Age_Unknown,United States
2484,Age_Unknown,United States
2499,41-60,United States
2503,31-40,United Kingdom
2515,31-40,Spain
2525,Age_Unknown,Country_Unknown
2528,Age_Unknown,United States
2545,41-60,Germany
2549,31-40,France
2550,Age_Unknown,France
2552,Age_Unknown,Country_Unknown
2559,Age_Unknown,United States
2562,41-60,United States
2565,Age_Unknown,United States
2569,Age_Unknown,United States
2578,11-19,Canada
2580,Age_Unknown,United States
2584,Age_Unknown,United States
2589,Age_Unknown,United States
2590,19-30,United States
2591,Age_Unknown,United States
2605,31-40,United States
2611,Age_Unknown,United States
2615,Age_Unknown,Austria
2622,41-60,United States
2630,61+,United States
2632,41-60,United States
2634,41-60,United States
2638,Age_Unknown,Canada
2640,19-30,United States
2643,19-30,United States
2644,Age_Unknown,United States
2651,Age_Unknown,United States
2653,41-60,United States
2665,Age_Unknown,Latvia
2670,Age_Unknown,United States
2679,31-40,United Kingdom
2690,31-40,United States
2700,19-30,United States
2719,31-40,United States
2731,Age_Unknown,Canada
2738,31-40,Italy
2749,11-19,Canada
2759,Age_Unknown,United States
2766,41-60,United States
2770,Age_Unknown,United States
2776,Age_Unknown,United States
2789,19-30,Spain
2790,41-60,United States
2793,31-40,United States
2799,Age_Unknown,United States
2844,Age_Unknown,United States
2850,Age_Unknown,United States
2853,Age_Unknown,United States
2854,31-40,United States
2855,31-40,United States
2859,Age_Unknown,United States
2861,19-30,United States
2891,Age_Unknown,United States
2892,19-30,United States
2906,19-30,France
2907,Age_Unknown,United States
2914,31-40,United States
2932,Age_Unknown,Canada
2936,19-30,United Kingdom
2945,19-30,United States
2948,19-30,United States
2954,61+,United States
2966,Age_Unknown,United States
2973,Age_Unknown,United States
2977,19-30,United States
2982,31-40,Canada
2992,Age_Unknown,United States
2995,61+,United States
2996,19-30,Italy
3005,Age_Unknown,United States
3009,Age_Unknown,United States
3017,Age_Unknown,Italy
3026,Age_Unknown,Malaysia
3030,Age_Unknown,United States
3032,31-40,Australia
3048,Age_Unknown,United States
3052,31-40,United States
3053,31-40,Germany
3054,Age_Unknown,United States
3060,Age_Unknown,United States
3062,Age_Unknown,United States
3063,41-60,United States
3079,Age_Unknown,United States
3087,19-30,United States
3088,19-30,France
3099,Age_Unknown,Sweden
3100,41-60,United States
3104,19-30,United States
3106,Age_Unknown,United States
3111,19-30,Netherlands
3113,Age_Unknown,Canada
3114,Age_Unknown,United Kingdom
3133,31-40,United States
3142,19-30,United States
3145,31-40,United States
3150,41-60,United States
3154,Age_Unknown,United States
3165,Age_Unknown,United States
3166,11-19,United States
3167,41-60,United States
3168,11-19,Canada
3172,31-40,United States
3174,19-30,United States
3177,41-60,New Zealand
3191,19-30,United Kingdom
3192,Age_Unknown,United States
3194,19-30,United States
3200,41-60,Spain
3206,19-30,Spain
3232,31-40,Italy
3243,19-30,United States
3251,Age_Unknown,Italy
3260,41-60,United States
3261,41-60,Country_Unknown
3266,Age_Unknown,Sweden
3282,41-60,Canada
3289,31-40,Canada
3293,19-30,Spain
3296,61+,United States
3300,41-60,United States
3305,19-30,Canada
3310,Age_Unknown,United States
3326,31-40,Germany
3329,Age_Unknown,United States
3331,41-60,United States
3332,41-60,United Kingdom
3344,61+,United States
3346,19-30,"Iran, Islamic Republic of"
3350,19-30,United States
3355,19-30,Spain
3362,Age_Unknown,United States
3363,19-30,United States
3364,19-30,Canada
3368,Age_Unknown,United States
3371,19-30,United States
3373,19-30,United States
3374,41-60,Canada
3379,11-19,Canada
3388,Age_Unknown,United Kingdom
3393,41-60,United States
3404,Age_Unknown,Canada
3416,31-40,Germany
3418,11-19,United States
3427,41-60,United States
3435,31-40,United Kingdom
3437,61+,United States
3445,41-60,United States
3460,31-40,Canada
3462,Age_Unknown,United States
3467,31-40,United States
3471,Age_Unknown,Canada
3472,19-30,United States
3473,Age_Unknown,United States
3481,41-60,United States
3488,19-30,Slovenia
3492,Age_Unknown,United States
3505,19-30,United States
3507,Age_Unknown,United States
3508,41-60,United Kingdom
3509,19-30,United States
3512,Age_Unknown,United States
3514,19-30,United States
3521,Age_Unknown,Canada
3532,Age_Unknown,United States
3534,Age_Unknown,United States
3537,Age_Unknown,United States
3538,31-40,Spain
3541,Age_Unknown,Country_Unknown
3542,Age_Unknown,United States
3543,31-40,United States
3544,41-60,United States
3546,19-30,United States
3556,61+,United States
3569,Age_Unknown,United States
3573,31-40,United States
3578,19-30,Canada
3580,41-60,United States
3588,Age_Unknown,United States
3593,Age_Unknown,United States
3594,41-60,New Zealand
3596,Age_Unknown,United States
3599,Age_Unknown,United States
3601,31-40,United States
3605,19-30,United States
3619,Age_Unknown,United States
3622,Age_Unknown,Country_Unknown
3628,Age_Unknown,United States
3632,31-40,Country_Unknown
3640,Age_Unknown,United States
3643,Age_Unknown,United States
3648,Age_Unknown,United States
3655,31-40,Country_Unknown
3656,Age_Unknown,United States
3659,Age_Unknown,Country_Unknown
3667,Age_Unknown,United States
3669,31-40,United States
3670,Age_Unknown,United States
3674,Age_Unknown,Canada
3675,19-30,Spain
3679,19-30,United States
3693,19-30,United States
3694,11-19,United States
3709,19-30,United States
3711,Age_Unknown,United States
3719,11-19,United States
3728,31-40,United States
3739,Age_Unknown,Country_Unknown
3743,19-30,Italy
3752,41-60,Switzerland
3756,41-60,United States
3757,Age_Unknown,Spain
3761,Age_Unknown,United States
3771,11-19,Spain
3775,41-60,United States
3777,19-30,United Kingdom
3780,Age_Unknown,United States
3789,19-30,Germany
3799,11-19,United Kingdom
3800,Age_Unknown,United States
3814,Age_Unknown,United States
3816,31-40,Italy
3817,19-30,United States
3821,31-40,United States
3827,19-30,United States
3839,Age_Unknown,United States
3840,41-60,United States
3842,Age_Unknown,United States
3844,Age_Unknown,Australia
3853,Age_Unknown,United States
3865,19-30,United States
3869,31-40,United States
3874,Age_Unknown,Netherlands
3884,61+,United States
3885,Age_Unknown,United States
3893,Age_Unknown,United States
3894,Age_Unknown,United States
3910,19-30,United States
3917,19-30,Canada
3918,Age_Unknown,Country_Unknown
3921,41-60,United States
3923,Age_Unknown,Country_Unknown
3930,41-60,Spain
3938,31-40,United States
3939,41-60,United States
3944,Age_Unknown,Canada
3948,Age_Unknown,United States
3951,Age_Unknown,United States
3952,Age_Unknown,United States
3953,31-40,United Kingdom
3954,19-30,United States
3965,Age_Unknown,United States
3975,19-30,United States
3977,61+,United States
3999,61+,United States
4017,41-60,United States
4032,19-30,Netherlands
4035,41-60,United States
4045,Age_Unknown,United States
4051,31-40,United Kingdom
4053,Age_Unknown,United States
4057,Age_Unknown,United Kingdom
4059,Age_Unknown,Country_Unknown
4066,31-40,United States
4067,Age_Unknown,United States
4069,Age_Unknown,United States
4077,Age_Unknown,United States
4085,Age_Unknown,United States
4090,Age_Unknown,United States
4091,61+,United States
